TAG_DRAGON_DISCIPLE	TAG_PRESTIGE_CLASSES			Dragon Disciple	Dragon Disciple Short Description - TBD!.Most Dragon Disciples are barbarian, fighters, or rangers who have dabbed as bards or sorcerers. Occasionally, a serious spellcaster explores the path to further a goal of finding out more about his draconic heritage.Hit Die: d12Requirements:To qualify to become a Dragon Disciple, a character must fulfill all the following criteria.  Race: Any non dragon (cannot be already a half-dragon).   Skills: Knowledge(Arcana) 8 ranks (not implemented).   Languages: Draconic (not implemented).   Spellcasting: Ability to cast arcane spells without preparation. Special: The player chooses a dragon variety when taking the first level in this prestige class. Base Attack and Base Save Bonuses: see ~table~[TAG_CLASS_FEATURES_DRAGON_DISCIPLES_TABLES]Class Skills: ~Concentration(Con)~[TAG_CONCENTRATION], Craft(Int), ~Diplomacy(Cha)~[TAG_DIPLOMACY], Escape Artist(Dex), ~Gather Information(Cha)~[TAG_GATHER_INFORMATION], Knowledge(all skills), ~Listen(Wis)~[TAG_LISTEN], Profession(Wis), ~Search(Int)~[TAG_SEARCH], Speak Language(None), ~Spellcraft(Int)~[TAG_SPELLCRAFT], and ~Spot(Wis)~[TAG_SPOT].Skill Points at Each Level: 2 + Int modifierClass Features:[CMD_CHILDREN]
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_TABLES	TAG_DRAGON_DISCIPLE			Dragon Disciple Base Attack & Base Save Bonuses - TBD!	Level   ~BAB~[TAG_LEVEL_BONUSES]   ~Fort.~[TAG_FORTITUDE]   ~Reflex~[TAG_REFLEX]   ~Will~[TAG_WILL]  1         +0      +2        +0        +2  2         +1      +3        +0        +3  3         +2      +3        +1        +3  4         +3      +3        +1        +3  5         +3      +4        +1        +4  6         +4      +5        +2        +5  7         +5      +5        +2        +5  8         +6      +6        +2        +6  9         +6      +6        +3        +6 10         +7      +7        +3        +7
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_SPELLS_PER_DAY	TAG_DRAGON_DISCIPLE			Dragon Disciple Bonus Spells - TBD!	At each stormlord level, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in a divine spellcasting class to which he belonged before adding the prestige class level. He does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or destroying undead, additional favored enemies, and so on). If the character had more than one divine spellcasting class before becoming a stormlord, the player must decide to which class to add each stormlord level for the purpose of determining spells per day and spells known.
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_GRANTED_PROFICIENCIES	TAG_DRAGON_DISCIPLE			Dragon Disciple Weapon and Armor Proficiency	Dragon Disciples gain no weapon or armor proficiencies.
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_HERITAGE	TAG_DRAGON_DISCIPLE			Dragon Disciple Heritage	The player chooses a dragon variety when taking the first level in this prestige class. TBD!
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_NATURAL_ARMOR_INCREASE	TAG_DRAGON_DISCIPLE			Dragon Disciple Natural Armor Increase	A dragon disciple gains an increase to the character's existing natural armor (if any). At 1st level +1, at 4th level +2, and at 7th level +3. As his skin thickens, a dragon disciple takes on more and more of his progenitor's physical aspect.
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_CLAWS_AND_BITE	TAG_DRAGON_DISCIPLE			Dragon Disciple Claws and Bite	At 2nd level, a dragon disciple gains claw and bite attacks if he does not already have them. Use the values below or the disciple’s base claw and bite damage values, whichever are greater.A dragon disciple is considered proficient with these attacks. When making a full attack, a dragon disciple uses his full base attack bonus with his bite attack but takes a -5 penalty on claw attacks. The Multiattack feat reduces this penalty to only -2.Size      Bite Damage Claw DamageSmall            1d4               1d3Medium      1d6              1d4Large           1d8              1d6
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_BREATH_WEAPON	TAG_DRAGON_DISCIPLE			Dragon Disciple Breath Weapon	At 3rd level, a dragon disciple gains a minor breath weapon. The type and shape depend on the dragon variety whose heritage he enjoys (see below). Regardless of the ancestor, the breath weapon deals 2d8 points of damage of the appropriate energy type.At 7th level, the damage increases to 4d8, and when a disciple attains dragon apotheosis at 10th level it reaches its full power at 6d8. Regardless of its strength, the breath weapon can be used only once per day. Use all the rules for dragon breath weapons except as specified here.Dragon Heritage  Breath WeaponBlack                      Line of acidBlue                      Line of lightningGreen                      Cone of acidRed                      Cone of fireWhite                      Cone of ColdBrass                      Line of FireBronze                      Line of LightningCopper                      Line of acidGold                      Cone of FireSilver                      Cone of coldThe DC of the breath weapon is 10 + class level + Con modifier.A line-shaped breath weapon is 5 feet high, 5 feet wide, and 60 feet long. A cone-shaped breath weapon is 30 feet long.
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_BLINDSENSE	TAG_DRAGON_DISCIPLE			Dragon Disciple Blindsense	At 5th level, the dragon disciple gains blindsense with a range of 30 feet. Using nonvisual senses the dragon disciple notices things it cannot see. He usually does not need to make Spot or Listen checks to notice and pinpoint the location of creatures within range of his blindsense ability, provided that he has line of effect to that creature.Any opponent the dragon disciple cannot see still has total concealment against him, and the dragon disciple still has the normal miss chance when attacking foes that have concealment. Visibility still affects the movement of a creature with blindsense. A creature with blindsense is still denied its Dexterity bonus to Armor Class against attacks from creatures it cannot see. At 10th level, the range of this ability increases to 60 feet.
TAG_CLASS_FEATURES_DRAGON_DISCIPLES_WINGS	TAG_DRAGON_DISCIPLE			Dragon Disciple Wings	At 9th level, a dragon disciple grows a set of draconic wings. He may now fly at a speed equal to his normal land speed, with average maneuverability.Not implemented in ToEE as there is flight in ToEE!
